id,class,available_hours,speed_per_hour
ae4cbcbb-0fad-11e3-a533-b614f2bbba79,Хроматограф жидкостный,,85
a66ab733-6e68-11e4-80be-00505692e771,Шейкер-CO2-инкубатор,,75
c6ee32ea-abaf-11e1-818a-b614f2bbba79,Хроматограф жидкостный,,55
66a207e3-8ad0-11e8-80e5-00155df02900,Дозатор,,50
bc5815e1-15ad-11e5-80be-00505692e771,Шейкер-CO2-инкубатор,,100
70a22e3d-5521-11e4-80b9-00505692e771,Холодильник,,75
098a0c65-5894-11e6-80e8-00505692e771,Хроматограф жидкостный,,95
e4d5fb35-3723-11e8-80e1-00155df02900,Облучатель бактерицидный,,75
602d95a8-2940-11e5-80c0-00505692e771,Хроматограф жидкостный,,55
33982cf2-0b0d-11e8-80e0-00155df02900,Камера для электрофореза,,55
da3a1a13-c815-11e6-80c6-00155df02900,Производственное оборудование,,85
a21b48dd-aba1-11e4-80be-00505692e771,Инженерное оборудование,,70
b3c5db7a-1b5d-11e6-80e2-00505692e771,Криохранилище,,95
1e440e62-8f22-11e7-80d8-00155df02900,Камера для электрофореза,,95
277d2e7a-36a7-11e9-80ef-00155df02900,Инженерное оборудование,,100
4e1b7600-8f22-11e7-80d8-00155df02900,Термостат твердотельный,,80
d3916f58-c935-11e3-8903-6ee664173b4c,Производственное оборудование,,80
368bbe77-1934-11e3-a533-b614f2bbba79,Автоклав,,70
571664ff-a2bb-11de-a428-005056c00008,Производственное оборудование,,90
d71f974d-7a69-11e5-80d0-00505692e771,Хроматограф жидкостный,,100
7da06b5d-a48c-11e5-80d6-00505692e771,Производственное оборудование,,55
fd33b528-a613-11e0-9449-3279b6ee2664,Масс-спектрометр,,100
635eebf3-5d65-11e7-80d6-00155df02900,Хроматограф жидкостный,,80
05233b89-b7a9-11e6-80be-b5eea29936c1,Производственное оборудование,,80
9b5743ac-ccdb-11e6-80c6-00155df02900,Весы,,90
099df0c9-bb91-11e5-80d6-00505692e771,Центрифуга,,70
405db8c2-dc53-11e8-80ee-00155df02900,Производственное оборудование,,80
60a9cccb-8ad0-11e8-80e5-00155df02900,Камера для электрофореза,,50
139122fa-c693-11e6-80c6-00155df02900,Производственное оборудование,,65
f17bd151-a9b0-11e7-80de-00155df02900,Производственное оборудование,,70
3817950e-4e72-11e2-b482-b614f2bbba79,Микроскоп,,55
c5b26e6d-8f22-11e7-80d8-00155df02900,Производственное оборудование,,55
579be020-939f-11e7-80da-00155df02900,Станция растворения,,80
18bac547-e562-11e7-80e0-00155df02900,Инженерное оборудование,,75
